City,state_code,State,Latitude,Longitude
Port Blair ,35,ANDAMAN & NICOBAR ISLANDS,11.6233774,"11.6233774,92.7264828"
Adilabad ,28,ANDHRA PRADESH,19.0809075,"19.0809075,79.560344"
Adoni ,28,ANDHRA PRADESH,15.6322227,"15.6322227,77.2728368"
Anantapur ,28,ANDHRA PRADESH,14.6818877,"14.6818877,77.6005911"
Bhimavaram ,28,ANDHRA PRADESH,16.544893,"16.5448093,81.521241"
Chilakaluripet ,28,ANDHRA PRADESH,16.0924301,"16.0924301,80.1623948"
Chittoor ,28,ANDHRA PRADESH,13.2218054,"13.2218054,79.1010442"
Dharmavaram ,28,ANDHRA PRADESH,14.4137447,"14.4137447,77.7126189"
Eluru ,28,ANDHRA PRADESH,16.7106604,"16.7106604,81.0952431"
Greater Hyderabad ,28,ANDHRA PRADESH,17.385,"16.7106604,78.4867"
Gudivada ,28,ANDHRA PRADESH,16.4410255,"16.4410255,80.9926327"
Guntakal ,28,ANDHRA PRADESH,15.1674091,"15.1674091,77.3736238"
Guntur ,28,ANDHRA PRADESH,16.3066525,"16.3066525,80.4365402"
Hindupur ,28,ANDHRA PRADESH,13.8185378,"13.8185378,77.4988753"
Kadapa ,28,ANDHRA PRADESH,14.4673541,"14.4673541,78.8241339"
Kakinada ,28,ANDHRA PRADESH,16.9890648,"16.9890648,82.2474648"
Karimnagar ,28,ANDHRA PRADESH,18.4385553,"18.4385553,79.1288412"
Khammam ,28,ANDHRA PRADESH,17.2472528,"17.2472528,80.1514447"
Kurnool ,28,ANDHRA PRADESH,15.8281257,"15.8281257,78.0372792"
Machilipatnam ,28,ANDHRA PRADESH,16.1905457,"16.1905457,81.1361543"
Madanapalle ,28,ANDHRA PRADESH,13.5603491,"13.5603491,78.5036065"
Mahbubnagar ,28,ANDHRA PRADESH,16.7375089,"16.7375089,78.0081221"
Miryalaguda ,28,ANDHRA PRADESH,16.8753106,"16.8753106,79.5659633"
Nalgonda ,28,ANDHRA PRADESH,17.0575707,"17.0575707,79.2620294"
Nandyal ,28,ANDHRA PRADESH,15.4785694,"15.4785694,78.4830934"
Narasaraopet ,28,ANDHRA PRADESH,16.2353506,"16.2353506,80.0479039"
Nellore ,28,ANDHRA PRADESH,14.4425987,"14.4425987,79.986456"
Nizamabad ,28,ANDHRA PRADESH,18.6725047,"18.6725047,78.0940867"
Ongole ,28,ANDHRA PRADESH,15.5057232,"15.5057232,80.049922"
Proddatur ,28,ANDHRA PRADESH,14.7491864,"14.7491864,78.5531577"
Rajahmundry ,28,ANDHRA PRADESH,17.0005383,"17.0005383,81.8040345"
Ramagundam ,28,ANDHRA PRADESH,18.7595503,"18.7595503,79.4816378"
Secunderabad ,28,ANDHRA PRADESH,17.4399295,"17.4399295,78.4982741"
Srikakulam ,28,ANDHRA PRADESH,18.4285005,"18.4285005,84.0167423"
Suryapet ,28,ANDHRA PRADESH,17.1353148,"17.1353148,79.6333674"
Tadepalligudem ,28,ANDHRA PRADESH,16.8138415,"16.8138415,81.521241"
Tadpatri ,28,ANDHRA PRADESH,14.9070274,"14.9070274,78.0092703"
Tenali ,28,ANDHRA PRADESH,16.2395313,"16.2395313,80.6493396"
Tirupati ,28,ANDHRA PRADESH,13.6287557,"13.6287557,79.4191795"
Vijayawada ,28,ANDHRA PRADESH,16.5061743,"16.5061743,80.6480153"
Visakhapatnam,28,ANDHRA PRADESH,17.6868,"16.7106604,83.2185"
Vizianagaram ,28,ANDHRA PRADESH,18.1066576,"18.1066576,83.3955506"
Warangal ,28,ANDHRA PRADESH,17.9689008,"17.9689008,79.5940544"
Pasighat,,ARUNACHAL PRADESH,28.0667,95.3333
Tawang,,ARUNACHAL PRADESH,27.5875,91.8661
Ziro,,ARUNACHAL PRADESH,27.6215,93.8237
Itanagar,,ARUNACHAL PRADESH,27.102,93.692
Dibrugarh ,18,ASSAM,27.4728327,"27.4728327,94.9119621"
Guwahati ,18,ASSAM,26.1445169,"26.1445169,91.7362365"
Nagaon ,18,ASSAM,26.3463713,"26.3463713,92.6840426"
Silchar ,18,ASSAM,24.8332708,"24.8332708,92.7789054"
Arrah ,10,BIHAR,25.5560443,"25.5560443,84.6603307"
Aurangabad ,10,BIHAR,24.7457189,"24.7457189,84.3804888"
Bagaha ,10,BIHAR,27.1221959,"27.1221959,84.0722375"
Begusarai ,10,BIHAR,25.416675,"16.7106604,86.1293792"
Bettiah ,10,BIHAR,26.8028048,"26.8028048,84.5169757"
Bhagalpur ,10,BIHAR,25.3478004,"25.3478004,86.9824288"
Biharsharif ,10,BIHAR,25.1982147,"25.1982147,85.5148735"
Buxar ,10,BIHAR,25.4987785,"25.4987785,84.1435136"
Chapra ,10,BIHAR,25.7795649,"25.7795649,84.7498886"
Darbhanga ,10,BIHAR,26.111868,"16.7106604,85.896004"
Dehri ,10,BIHAR,24.9277351,"24.9277351,84.1909841"
Dinapur Nizamat ,10,BIHAR,25.6328264,"25.6328264,85.0597137"
Gaya ,10,BIHAR,24.7954523,"24.7954523,84.999431"
Hajipur ,10,BIHAR,25.6858392,"25.6858392,85.2145907"
Jamalpur ,10,BIHAR,25.312717,"25.312717,86.4906091"
Jehanabad ,10,BIHAR,25.1515827,"25.1515827,84.981754"
Katihar ,10,BIHAR,25.552048,"25.552048,87.5718609"
Kishanganj ,10,BIHAR,26.0917422,"26.0917422,87.9383822"
Motihari ,10,BIHAR,26.6469624,"26.6469624,84.9088938"
Munger ,10,BIHAR,25.3747561,"25.3747561,86.4735251"
Muzaffarpur ,10,BIHAR,26.1208876,"26.1208876,85.3647201"
Patna ,10,BIHAR,25.5940947,"25.5940947,85.1375645"
Purnia ,10,BIHAR,25.7771391,"25.7771391,87.4752551"
Saharsa ,10,BIHAR,25.8834961,"25.8834961,86.6006249"
Sasaram ,10,BIHAR,24.949036,"24.949036,84.0314295"
Siwan ,10,BIHAR,26.2196205,"26.2196205,84.3566593"
Chandigarh ,4,CHANDIGARH,30.7333148,"30.7333148,76.7794179"
Ambikapur ,22,CHHATTISGARH,23.1354921,"23.1354921,83.1817856"
Bhilai Nagar ,22,CHHATTISGARH,21.1938475,"21.1938475,81.3509416"
Bilaspur ,22,CHHATTISGARH,22.0796251,"22.0796251,82.1391412"
Durg ,22,CHHATTISGARH,21.1904494,"21.1904494,81.2849169"
Jagdalpur ,22,CHHATTISGARH,19.0740973,"19.0740973,82.008014"
Korba ,22,CHHATTISGARH,22.3594501,"22.3594501,82.7500595"
Raigarh ,22,CHHATTISGARH,21.8974003,"21.8974003,83.3949632"
Raipur ,22,CHHATTISGARH,21.2513844,"21.2513844,81.6296413"
Rajnandgaon ,22,CHHATTISGARH,21.0971034,"21.0971034,81.0302222"
Bhalswa Jahangir Pur ,7,DELHI,28.757322,"16.7106604,77.1544"
Burari ,7,DELHI,28.7535212,"28.7535212,77.1948241"
Dallo Pura ,7,DELHI,28.6004677,"28.6004677,77.319462"
Delhi ,7,DELHI,28.7041,"16.7106604,77.1025"
Delhi Cantonment ,7,DELHI,28.5961279,"28.5961279,77.1587375"
Deoli ,7,DELHI,28.4962152,"28.4962152,77.2376414"
Gokal Pur ,7,DELHI,28.703423,"28.703423,77.2840105"
Hastsal ,7,DELHI,28.6377129,"28.6377129,77.0490264"
Karawal Nagar ,7,DELHI,28.7283102,"28.7283102,77.276926"
Kirari Suleman Nagar ,7,DELHI,28.6967948,"28.6967948,77.0643614"
Mandoli ,7,DELHI,28.7041396,"28.7041396,77.313921"
Mustafabad ,7,DELHI,28.7113968,"28.7113968,77.2681086"
Nangloi Jat ,7,DELHI,28.6841206,"28.6841206,77.0632942"
New Delhi ,7,DELHI,28.6139,"16.7106604,77.2090"
Sultan Pur Majra ,7,DELHI,28.6958531,"28.6958531,77.0805496"
Ahmadabad ,24,GUJARAT,23.022505,"23.022505,72.5713621"
Amreli ,24,GUJARAT,21.6031774,"21.6031774,71.2220832"
Anand ,24,GUJARAT,22.5645175,"22.5645175,72.928871"
Bharuch ,24,GUJARAT,21.7051358,"21.7051358,72.9958748"
Bhavnagar ,24,GUJARAT,21.7644725,"21.7644725,72.1519304"
Bhuj ,24,GUJARAT,23.2419997,"23.2419997,69.6669324"
Botad ,24,GUJARAT,22.1704232,"22.1704232,71.6684269"
Deesa ,24,GUJARAT,24.2585031,"24.2585031,72.1906721"
Gandhidham ,24,GUJARAT,23.075297,"23.075297,70.133673"
Gandhinagar ,24,GUJARAT,23.2156354,"23.2156354,72.6369415"
Godhra ,24,GUJARAT,22.7788044,"22.7788044,73.6142795"
Gondal ,24,GUJARAT,21.9619463,"21.9619463,70.792297"
Jamnagar ,24,GUJARAT,22.4707019,"22.4707019,70.05773"
Jetpur Navagadh ,24,GUJARAT,21.7615246,"21.7615246,70.6276279"
Junagadh ,24,GUJARAT,21.522184,"21.522184,70.4578768"
Kalol ,24,GUJARAT,23.2463895,"23.2463895,72.5086513"
Mahesana ,24,GUJARAT,23.5879607,"23.5879607,72.3693252"
Morvi ,24,GUJARAT,22.8119895,"22.8119895,70.8236195"
Nadiad ,24,GUJARAT,22.6915853,"22.6915853,72.8633635"
Navsari ,24,GUJARAT,20.9467019,"20.9467019,72.9520348"
Palanpur ,24,GUJARAT,24.174051,"24.174051,72.4330989"
Patan ,24,GUJARAT,23.8493246,"23.8493246,72.1266255"
Porbandar ,24,GUJARAT,21.6417069,"21.6417069,69.6292654"
Rajkot ,24,GUJARAT,22.3038945,"22.3038945,70.8021599"
Surat ,24,GUJARAT,21.1702401,"21.1702401,72.8310607"
Surendranagar Dudhrej ,24,GUJARAT,22.7201319,"22.7201319,71.649536"
Vadodara ,24,GUJARAT,22.3071588,"22.3071588,73.1812187"
Valsad ,24,GUJARAT,20.5992349,"20.5992349,72.9342451"
Veraval ,24,GUJARAT,20.9158979,"20.9158979,70.3628516"
Ambala ,6,HARYANA,30.3781788,"30.3781788,76.7766974"
Ambala Sadar ,6,HARYANA,30.3248708,"30.3248708,76.8432663"
Bahadurgarh ,6,HARYANA,28.6924464,"28.6924464,76.9239727"
Bhiwani ,6,HARYANA,28.7751693,"28.7751693,75.9927652"
Faridabad ,6,HARYANA,28.4089123,"28.4089123,77.3177894"
Gurgaon ,6,HARYANA,28.4594965,"28.4594965,77.0266383"
Hisar ,6,HARYANA,29.1491875,"29.1491875,75.7216527"
Jagadhri ,6,HARYANA,30.1680858,"30.1680858,77.2969204"
Jind ,6,HARYANA,29.3211153,"29.3211153,76.3058328"
Kaithal ,6,HARYANA,29.7856734,"29.7856734,76.3984537"
Karnal ,6,HARYANA,29.6856929,"29.6856929,76.9904825"
Palwal ,6,HARYANA,28.1487362,"28.1487362,77.3320262"
Panchkula ,6,HARYANA,30.6942091,"30.6942091,76.860565"
Panipat ,6,HARYANA,29.3909464,"29.3909464,76.9635023"
Rewari ,6,HARYANA,28.1927631,"28.1927631,76.6239423"
Rohtak ,6,HARYANA,28.8955152,"28.8955152,76.606611"
Sirsa ,6,HARYANA,29.5335931,"29.5335931,75.0177029"
Sonipat ,6,HARYANA,28.9287735,"28.9287735,77.091281"
Thanesar ,6,HARYANA,29.9696148,"29.9696148,76.8197522"
Yamunanagar ,6,HARYANA,30.1290485,"30.1290485,77.2673901"
Shimla ,2,HIMACHAL PRADESH,31.1048145,"31.1048145,77.1734033"
Anantnag ,1,JAMMU & KASHMIR,33.7311255,"33.7311255,75.1487007"
Jammu ,1,JAMMU & KASHMIR,32.7266016,"32.7266016,74.8570259"
Srinagar ,1,JAMMU & KASHMIR,34.0836708,"34.0836708,74.7972825"
Adityapur ,20,JHARKHAND,22.7834741,"22.7834741,86.1576889"
Bokaro Steel City ,20,JHARKHAND,23.6692956,"23.6692956,86.151112"
Chas ,20,JHARKHAND,23.6388375,"23.6388375,86.1700894"
Deoghar ,20,JHARKHAND,24.4763201,"24.4763201,86.6913222"
Dhanbad ,20,JHARKHAND,23.7956531,"23.7956531,86.4303859"
Giridih ,20,JHARKHAND,24.2841482,"24.2841482,86.0937312"
Hazaribag ,20,JHARKHAND,23.9966213,"23.9966213,85.3691068"
Jamshedpur ,20,JHARKHAND,22.8045665,"22.8045665,86.2028754"
Mango ,20,JHARKHAND,22.834024,"22.834024,86.219577"
Ranchi ,20,JHARKHAND,23.3440997,"23.3440997,85.309562"
Bagalkot ,29,KARNATAKA,16.1725355,"16.1725355,75.6557206"
Belgaum ,29,KARNATAKA,15.8496953,"15.8496953,74.4976741"
Bellary ,29,KARNATAKA,15.1393932,"15.1393932,76.9214428"
Bengaluru,29,KARNATAKA,12.9716,"16.7106604,77.5946"
Bhadravati ,29,KARNATAKA,13.8329901,"13.8329901,75.7080727"
Bidar ,29,KARNATAKA,17.9148799,"17.9148799,77.5046101"
Bijapur ,29,KARNATAKA,16.8301708,"16.8301708,75.710031"
Chikmagalur ,29,KARNATAKA,13.315258,"13.315258,75.7754018"
Chitradurga ,29,KARNATAKA,14.2305594,"14.2305594,76.3984537"
Davanagere ,29,KARNATAKA,14.4663438,"14.4663438,75.9238397"
Gadag-Betigeri ,29,KARNATAKA,15.4324651,"15.4324651,75.6380337"
Gangawati ,29,KARNATAKA,15.431874,"15.431874,76.5314817"
Gulbarga ,29,KARNATAKA,17.329731,"17.329731,76.8342957"
Hassan ,29,KARNATAKA,13.0068142,"13.0068142,76.0995519"
Hospet ,29,KARNATAKA,15.2688542,"15.2688542,76.3909241"
Hubli-Dharwad ,29,KARNATAKA,15.3647083,"15.3647083,75.1239547"
Kolar ,29,KARNATAKA,13.1357446,"13.1357446,78.1325611"
Mandya ,29,KARNATAKA,12.5221567,"12.5221567,76.9009191"
Mangalore ,29,KARNATAKA,12.9141417,"12.9141417,74.8559568"
Mysore ,29,KARNATAKA,12.2958104,"12.2958104,76.6393805"
Raichur ,29,KARNATAKA,16.2120031,"16.2120031,77.3439283"
Ranibennur ,29,KARNATAKA,14.6113428,"14.6113428,75.6382657"
Robertson Pet ,29,KARNATAKA,12.9551189,"12.9551189,78.2698622"
Shimoga ,29,KARNATAKA,13.9299299,"13.9299299,75.568101"
Tumkur ,29,KARNATAKA,13.3709627,"13.3709627,76.6412712"
Udupi ,29,KARNATAKA,13.3408807,"13.3408807,74.7421427"
Alappuzha ,32,KERALA,9.4980667,"9.4980667,76.3388484"
Kochi ,32,KERALA,9.9312328,"9.9312328,76.2673041"
Kollam ,32,KERALA,8.8932118,"8.8932118,76.6141396"
Kozhikode ,32,KERALA,11.2587531,"11.2587531,75.78041"
Palakkad ,32,KERALA,10.7867303,"10.7867303,76.6547932"
Thiruvananthapuram ,32,KERALA,8.5241391,"8.5241391,76.9366376"
Thrissur ,32,KERALA,10.5276416,"10.5276416,76.2144349"
Betul ,23,MADHYA PRADESH,21.9108031,"21.9108031,77.9011842"
Bhind ,23,MADHYA PRADESH,26.4450034,"26.4450034,78.7476208"
Bhopal ,23,MADHYA PRADESH,"23.2599333,77.412615","23.2599333,77.412615"
Burhanpur ,23,MADHYA PRADESH,"21.3193875,76.2224273","21.3193875,76.2224273"
Chhattarpur ,23,MADHYA PRADESH,"24.728683,79.560344","24.728683,79.560344"
Chhindwara ,23,MADHYA PRADESH,"22.057437,78.9381729","22.057437,78.9381729"
Damoh ,23,MADHYA PRADESH,"23.8380986,79.4421731","23.8380986,79.4421731"
Datia ,23,MADHYA PRADESH,"25.6653262,78.4609393","25.6653262,78.4609393"
Dewas ,23,MADHYA PRADESH,"22.9622672,76.0507949","22.9622672,76.0507949"
Guna ,23,MADHYA PRADESH,"24.6348197,77.2979782","24.6348197,77.2979782"
Gwalior ,23,MADHYA PRADESH,"26.2182871,78.1828308","26.2182871,78.1828308"
Hoshangabad ,23,MADHYA PRADESH,"22.744108,77.736967","22.744108,77.736967"
Indore ,23,MADHYA PRADESH,"22.7195687,75.8577258","22.7195687,75.8577258"
Jabalpur ,23,MADHYA PRADESH,"23.181467,79.9864071","23.181467,79.9864071"
Khandwa ,23,MADHYA PRADESH,"21.8257334,76.352571","21.8257334,76.352571"
Khargone ,23,MADHYA PRADESH,"21.90287,75.8069082","21.90287,75.8069082"
Mandsaur ,23,MADHYA PRADESH,"24.076836,75.0692952","24.076836,75.0692952"
Morena ,23,MADHYA PRADESH,"26.4933562,77.9909949","26.4933562,77.9909949"
Murwara ,23,MADHYA PRADESH,"23.7473807,80.365865","23.7473807,80.365865"
Nagda ,23,MADHYA PRADESH,"23.4454599,75.4169918","23.4454599,75.4169918"
Neemuch ,23,MADHYA PRADESH,"24.4763852,74.8624092","24.4763852,74.8624092"
Pithampur ,23,MADHYA PRADESH,"22.613252,75.6822899","22.613252,75.6822899"
Ratlam ,23,MADHYA PRADESH,"23.3341696,75.0376325","23.3341696,75.0376325"
Rewa ,23,MADHYA PRADESH,"24.5372927,81.30418","24.5372927,81.30418"
Sagar ,23,MADHYA PRADESH,"23.838805,78.7378068","23.838805,78.7378068"
Satna ,23,MADHYA PRADESH,"24.6005075,80.8322428","24.6005075,80.8322428"
Sehore ,23,MADHYA PRADESH,"23.205012,77.0850781","23.205012,77.0850781"
Seoni ,23,MADHYA PRADESH,"22.0868691,79.5434841","22.0868691,79.5434841"
Shivpuri ,23,MADHYA PRADESH,"25.4357869,77.665066","25.4357869,77.665066"
Singrauli ,23,MADHYA PRADESH,"24.1992101,82.6645469","24.1992101,82.6645469"
Ujjain ,23,MADHYA PRADESH,"23.1793013,75.7849097","23.1793013,75.7849097"
Vidisha ,23,MADHYA PRADESH,"23.5251102,77.8081363","23.5251102,77.8081363"
Achalpur ,27,MAHARASHTRA,"21.257584,77.5086754","21.257584,77.5086754"
Ahmadnagar ,27,MAHARASHTRA,"19.0952075,74.7495916","19.0952075,74.7495916"
Akola ,27,MAHARASHTRA,"20.7059345,77.0219019","20.7059345,77.0219019"
Ambarnath ,27,MAHARASHTRA,"19.1825167,73.1926023","19.1825167,73.1926023"
Amravati ,27,MAHARASHTRA,"20.9374238,77.7795513","20.9374238,77.7795513"
Aurangabad ,27,MAHARASHTRA,"19.8761653,75.3433139","19.8761653,75.3433139"
Badlapur ,27,MAHARASHTRA,"19.1667854,73.2367896","19.1667854,73.2367896"
Barshi ,27,MAHARASHTRA,"18.2333856,75.6941478","18.2333856,75.6941478"
Bhiwandi ,27,MAHARASHTRA,"19.2812547,73.0482912","19.2812547,73.0482912"
Bhusawal ,27,MAHARASHTRA,"21.0455204,75.8010962","21.0455204,75.8010962"
Bid ,27,MAHARASHTRA,"18.9890893,75.7600785","18.9890893,75.7600785"
Chandrapur ,27,MAHARASHTRA,"19.9704597,79.3014845","19.9704597,79.3014845"
Dhule ,27,MAHARASHTRA,"20.9042201,74.7748979","20.9042201,74.7748979"
Gondiya ,27,MAHARASHTRA,"21.4624491,80.2209773","21.4624491,80.2209773"
Greater Mumbai ,27,MAHARASHTRA,"19.0760,72.8777","16.7106604,72.8777"
Hinganghat ,27,MAHARASHTRA,"20.5505728,78.8411405","20.5505728,78.8411405"
Ichalkaranji ,27,MAHARASHTRA,"16.7090008,74.4560807","16.7090008,74.4560807"
Jalgaon ,27,MAHARASHTRA,"21.0076578,75.5626039","21.0076578,75.5626039"
Jalna ,27,MAHARASHTRA,"19.8296893,75.8800305","19.8296893,75.8800305"
Kolhapur ,27,MAHARASHTRA,"16.7049873,74.2432527","16.7049873,74.2432527"
Latur ,27,MAHARASHTRA,"18.4087934,76.5603828","18.4087934,76.5603828"
Malegaon ,27,MAHARASHTRA,"20.5547497,74.5100291","20.5547497,74.5100291"
Mira Bhayander ,27,MAHARASHTRA,"19.2952325,72.8543897","19.2952325,72.8543897"
Nagpur ,27,MAHARASHTRA,"21.1458004,79.0881546","21.1458004,79.0881546"
Nanded Waghala ,27,MAHARASHTRA,"19.1428869,77.303723","19.1428869,77.303723"
Nandurbar ,27,MAHARASHTRA,"21.7468548,74.123996","21.7468548,74.123996"
Nashik ,27,MAHARASHTRA,"19.9974533,73.7898023","19.9974533,73.7898023"
Navi Mumbai ,27,MAHARASHTRA,"19.0330488,73.0296625","19.0330488,73.0296625"
Navi Mumbai Panvel Raigarh ,27,MAHARASHTRA,"18.9894007,73.1175162","18.9894007,73.1175162"
Osmanabad ,27,MAHARASHTRA,"18.2069636,76.1783739","18.2069636,76.1783739"
Panvel ,27,MAHARASHTRA,"18.9894007,73.1175162","18.9894007,73.1175162"
Parbhani ,27,MAHARASHTRA,"19.2609958,76.776665","19.2609958,76.776665"
Pimpri Chinchwad ,27,MAHARASHTRA,"18.6297811,73.7997094","18.6297811,73.7997094"
Pune ,27,MAHARASHTRA,"18.5204303,73.8567437","18.5204303,73.8567437"
Sangli Miraj Kupwad ,27,MAHARASHTRA,"16.8541887,74.6049061","16.8541887,74.6049061"
Satara ,27,MAHARASHTRA,"17.6804639,74.018261","17.6804639,74.018261"
Solapur ,27,MAHARASHTRA,"17.6599188,75.9063906","17.6599188,75.9063906"
