City,state_code,State,Latitude,Longitude
Thane ,27,MAHARASHTRA,"19.2183307,72.9780897","19.2183307,72.9780897"
Udgir ,27,MAHARASHTRA,"18.3942882,77.1126009","18.3942882,77.1126009"
Ulhasnagar ,27,MAHARASHTRA,"19.2215115,73.1644628","19.2215115,73.1644628"
Vasai Virar City ,27,MAHARASHTRA,"19.3919275,72.8397317","19.3919275,72.8397317"
Wardha ,27,MAHARASHTRA,"20.745319,78.6021946","20.745319,78.6021946"
Yavatmal ,27,MAHARASHTRA,"20.3887937,78.1204073","20.3887937,78.1204073"
Imphal ,14,MANIPUR ,"24.8170111,93.9368439","24.8170111,93.9368439"
Shillong ,17,MEGHALAYA,"25.5714,91.8848","25.5714,91.8848"
Aizawl ,15,MIZORAM,"23.727107,92.7176389","23.727107,92.7176389"
Dimapur ,13,NAGALAND,"25.8629885,93.7536663","25.8629885,93.7536663"
Baleshwar Town ,21,ORISSA,"21.4869337,86.9246005","21.4869337,86.9246005"
Baripada Town ,21,ORISSA,"21.9322338,86.7516942","21.9322338,86.7516942"
Bhadrak ,21,ORISSA,"21.0582737,86.4958396","21.0582737,86.4958396"
Bhubaneswar Town ,21,ORISSA,"20.2960587,85.8245398","20.2960587,85.8245398"
Brahmapur Town ,21,ORISSA,"19.3149618,84.7940911","19.3149618,84.7940911"
Cuttack ,21,ORISSA,"20.462521,85.8829895","20.462521,85.8829895"
Puri ,21,ORISSA,"19.8133822,85.8314655","19.8133822,85.8314655"
Raurkela Industrial Township ,21,ORISSA,"22.1993143,84.8620054","22.1993143,84.8620054"
Raurkela Town ,21,ORISSA,"22.260423,84.8535844","22.260423,84.8535844"
Sambalpur ,21,ORISSA,"21.4668716,83.9811665","21.4668716,83.9811665"
Ozhukarai ,34,PUDUCHERRY,"11.9475611,79.7793932","11.9475611,79.7793932"
Puducherry ,34,PUDUCHERRY,"11.9138598,79.8144722","11.9138598,79.8144722"
Abohar ,3,PUNJAB,"30.1452928,74.1993043","30.1452928,74.1993043"
Amritsar ,3,PUNJAB,"31.6339793,74.8722642","31.6339793,74.8722642"
Barnala ,3,PUNJAB,"30.3819446,75.5467979","30.3819446,75.5467979"
Batala ,3,PUNJAB,"31.8183238,75.2070644","31.8183238,75.2070644"
Bathinda ,3,PUNJAB,"30.210994,74.9454745","30.210994,74.9454745"
Firozpur ,3,PUNJAB,"30.9331348,74.6224755","30.9331348,74.6224755"
Hoshiarpur ,3,PUNJAB,"31.5143178,75.911483","31.5143178,75.911483"
Jalandhar ,3,PUNJAB,"31.3260152,75.5761829","31.3260152,75.5761829"
Khanna ,3,PUNJAB,"30.697852,76.2112286","30.697852,76.2112286"
Ludhiana ,3,PUNJAB,"30.900965,75.8572758","30.900965,75.8572758"
Malerkotla ,3,PUNJAB,"30.5232076,75.8882508","30.5232076,75.8882508"
Moga ,3,PUNJAB,"30.8164603,75.1717093","30.8164603,75.1717093"
Muktsar ,3,PUNJAB,"30.4766391,74.511172","30.4766391,74.511172"
Pathankot ,3,PUNJAB,"32.2643375,75.6421121","32.2643375,75.6421121"
Patiala ,3,PUNJAB,"30.3397809,76.3868797","30.3397809,76.3868797"
S.A.S. Nagar ,3,PUNJAB,"30.6496486,76.7567368","30.6496486,76.7567368"
Ajmer ,8,RAJASTHAN,"26.4498954,74.6399163","26.4498954,74.6399163"
Alwar ,8,RAJASTHAN,"27.5529907,76.6345735","27.5529907,76.6345735"
Banswara ,8,RAJASTHAN,"23.5461394,74.4349761","23.5461394,74.4349761"
Baran ,8,RAJASTHAN,"25.1011438,76.5131637","25.1011438,76.5131637"
Beawar ,8,RAJASTHAN,"26.1007337,74.3190747","26.1007337,74.3190747"
Bharatpur ,8,RAJASTHAN,"27.216981,77.489515","27.216981,77.489515"
Bhilwara ,8,RAJASTHAN,"25.321377,74.586953","25.321377,74.586953"
Bhiwadi ,8,RAJASTHAN,"28.2088218,76.8445999","28.2088218,76.8445999"
Bikaner ,8,RAJASTHAN,"28.0229348,73.3119159","28.0229348,73.3119159"
Bundi ,8,RAJASTHAN,"25.4305144,75.6499025","25.4305144,75.6499025"
Chittaurgarh ,8,RAJASTHAN,"24.8887435,74.6269216","24.8887435,74.6269216"
Churu ,8,RAJASTHAN,"28.3174965,74.9851678","28.3174965,74.9851678"
Dhaulpur ,8,RAJASTHAN,"26.7025181,77.893391","26.7025181,77.893391"
Ganganagar ,8,RAJASTHAN,"29.9038399,73.8771901","29.9038399,73.8771901"
Gangapur City ,8,RAJASTHAN,"26.4846537,76.7278803","26.4846537,76.7278803"
Hanumangarh ,8,RAJASTHAN,"29.5815012,74.3294199","29.5815012,74.3294199"
Hindaun ,8,RAJASTHAN,"26.7454967,77.0330481","26.7454967,77.0330481"
Jaipur ,8,RAJASTHAN,"26.9124336,75.7872709","26.9124336,75.7872709"
Jhunjhunun ,8,RAJASTHAN,"28.1288747,75.3995089","28.1288747,75.3995089"
Jodhpur ,8,RAJASTHAN,"26.2389469,73.0243094","26.2389469,73.0243094"
Kishangarh ,8,RAJASTHAN,"26.5870344,74.856397","26.5870344,74.856397"
Kota ,8,RAJASTHAN,"25.2138156,75.8647527","25.2138156,75.8647527"
Nagaur ,8,RAJASTHAN,"27.1991222,73.740924","27.1991222,73.740924"
Pali ,8,RAJASTHAN,"25.7710893,73.3234478","25.7710893,73.3234478"
Sawai Madhopur ,8,RAJASTHAN,"26.0377772,76.3521514","26.0377772,76.3521514"
Sikar ,8,RAJASTHAN,"27.6094,75.139911","27.6094,75.139911"
Sujangarh ,8,RAJASTHAN,"27.7044756,74.4642861","27.7044756,74.4642861"
Tonk ,8,RAJASTHAN,"26.1620402,75.7894716","26.1620402,75.7894716"
Udaipur ,8,RAJASTHAN,"24.585445,73.712479","24.585445,73.712479"
Alandur ,33,TAMIL NADU,"12.9974873,80.2006371","12.9974873,80.2006371"
Ambattur ,33,TAMIL NADU,"13.1143167,80.1480551","13.1143167,80.1480551"
Ambur ,33,TAMIL NADU,"12.7903613,78.7166084","12.7903613,78.7166084"
Avadi ,33,TAMIL NADU,"13.1067448,80.0969511","13.1067448,80.0969511"
Chennai ,33,TAMIL NADU,"13.0826802,80.2707184","13.0826802,80.2707184"
Coimbatore ,33,TAMIL NADU,"11.0168445,76.9558321","11.0168445,76.9558321"
Cuddalore ,33,TAMIL NADU,"11.744699,79.7680243","11.744699,79.7680243"
Dindigul ,33,TAMIL NADU,"10.3673123,77.9802906","10.3673123,77.9802906"
Erode ,33,TAMIL NADU,"11.3410364,77.7171642","11.3410364,77.7171642"
Hosur ,33,TAMIL NADU,"12.7409127,77.8252923","12.7409127,77.8252923"
Kancheepuram ,33,TAMIL NADU,"12.8341735,79.7036402","12.8341735,79.7036402"
Karaikkudi ,33,TAMIL NADU,"10.0731315,78.7801544","10.0731315,78.7801544"
Kumbakonam ,33,TAMIL NADU,"10.9616945,79.3881132","10.9616945,79.3881132"
Kurichi ,33,TAMIL NADU,"11.5707716,77.6966143","11.5707716,77.6966143"
Madavaram ,33,TAMIL NADU,"13.147819,80.2309861","13.147819,80.2309861"
Madurai ,33,TAMIL NADU,"9.9252007,78.1197754","9.9252007,78.1197754"
Nagapattinam ,33,TAMIL NADU,"10.7656082,79.8423888","10.7656082,79.8423888"
Nagercoil ,33,TAMIL NADU,"8.1832857,77.4118996","8.1832857,77.4118996"
Neyveli ,33,TAMIL NADU,"11.5432364,79.4760133","11.5432364,79.4760133"
Pallavaram ,33,TAMIL NADU,"12.9673484,80.1526888","12.9673484,80.1526888"
Pudukkottai ,33,TAMIL NADU,"10.379663,78.8208454","10.379663,78.8208454"
Rajapalayam ,33,TAMIL NADU,"9.4653377,77.5275463","9.4653377,77.5275463"
Salem ,33,TAMIL NADU,"11.664325,78.1460142","11.664325,78.1460142"
Tambaram ,33,TAMIL NADU,"12.9229153,80.1274558","12.9229153,80.1274558"
Thanjavur ,33,TAMIL NADU,"10.7869994,79.1378274","10.7869994,79.1378274"
Thoothukkudi ,33,TAMIL NADU,"8.7641661,78.1348361","8.7641661,78.1348361"
Tiruchirappalli ,33,TAMIL NADU,"10.7904833,78.7046725","10.7904833,78.7046725"
Tirunelveli ,33,TAMIL NADU,"8.7139126,77.7566523","8.7139126,77.7566523"
Tiruppur ,33,TAMIL NADU,"11.1085242,77.3410656","11.1085242,77.3410656"
Tiruvannamalai ,33,TAMIL NADU,"12.2252841,79.0746957","12.2252841,79.0746957"
Tiruvottiyur ,33,TAMIL NADU,"13.1691914,80.3045793","13.1691914,80.3045793"
Vellore ,33,TAMIL NADU,"12.9165167,79.1324986","12.9165167,79.1324986"
Agartala ,16,TRIPURA,"23.831457,91.2867777","23.831457,91.2867777"
Agra ,9,UTTAR PRADESH,"27.1766701,78.0080745","27.1766701,78.0080745"
Akbarpur ,9,UTTAR PRADESH,"26.4407468,82.5537514","26.4407468,82.5537514"
Aligarh ,9,UTTAR PRADESH,"27.8973944,78.0880129","27.8973944,78.0880129"
Allahabad ,9,UTTAR PRADESH,"25.4358011,81.846311","25.4358011,81.846311"
Amroha ,9,UTTAR PRADESH,"28.9043537,78.4673426","28.9043537,78.4673426"
Azamgarh ,9,UTTAR PRADESH,"26.0737044,83.1859458","26.0737044,83.1859458"
Bahraich ,9,UTTAR PRADESH,"27.7525271,81.4278984","27.7525271,81.4278984"
Ballia ,9,UTTAR PRADESH,"25.7584381,84.1487319","25.7584381,84.1487319"
Banda ,9,UTTAR PRADESH,"25.4796224,80.3380213","25.4796224,80.3380213"
Baraut ,9,UTTAR PRADESH,"29.0998902,77.2606149","29.0998902,77.2606149"
Bareilly ,9,UTTAR PRADESH,"28.3670355,79.4304381","28.3670355,79.4304381"
Basti ,9,UTTAR PRADESH,"26.8176796,82.7633133","26.8176796,82.7633133"
Budaun ,9,UTTAR PRADESH,"28.0337088,79.1205419","28.0337088,79.1205419"
Bulandshahr ,9,UTTAR PRADESH,"28.406963,77.8498292","28.406963,77.8498292"
Chandausi ,9,UTTAR PRADESH,"28.4480507,78.7796105","28.4480507,78.7796105"
Deoria ,9,UTTAR PRADESH,"26.4270039,83.804868","26.4270039,83.804868"
Etah ,9,UTTAR PRADESH,"27.5587505,78.662567","27.5587505,78.662567"
Etawah ,9,UTTAR PRADESH,"26.8458148,79.1096901","26.8458148,79.1096901"
Faizabad ,9,UTTAR PRADESH,"26.7732476,82.1441643","26.7732476,82.1441643"
Farrukhabad-cum-Fatehgarh ,9,UTTAR PRADESH,"27.3826126,79.5940544","27.3826126,79.5940544"
Fatehpur ,9,UTTAR PRADESH,"25.8499808,80.8986502","25.8499808,80.8986502"
Firozabad ,9,UTTAR PRADESH,"27.1591006,78.3957574","27.1591006,78.3957574"
Ghazipur ,9,UTTAR PRADESH,"25.5840419,83.5770202","25.5840419,83.5770202"
Gonda ,9,UTTAR PRADESH,"27.1339913,81.9618968","27.1339913,81.9618968"
Gorakhpur ,9,UTTAR PRADESH,"26.7605545,83.3731675","26.7605545,83.3731675"
Greater Noida ,9,UTTAR PRADESH,"28.4743879,77.5039904","28.4743879,77.5039904"
Hapur ,9,UTTAR PRADESH,"28.7305798,77.7758825","28.7305798,77.7758825"
Hardoi ,9,UTTAR PRADESH,"27.2978965,80.1875065","27.2978965,80.1875065"
Hathras ,9,UTTAR PRADESH,"27.6056212,78.0537813","27.6056212,78.0537813"
Jaunpur ,9,UTTAR PRADESH,"25.7490034,82.6987002","25.7490034,82.6987002"
Jhansi ,9,UTTAR PRADESH,"25.4484257,78.5684594","25.4484257,78.5684594"
Kanpur ,9,UTTAR PRADESH,"26.449923,80.3318736","26.449923,80.3318736"
Kanpur City,9,UTTAR PRADESH,"26.449923,80.3318736","26.449923,80.3318736"
Kasganj ,9,UTTAR PRADESH,"27.8129344,78.649785","27.8129344,78.649785"
Khora ,9,UTTAR PRADESH,"28.753915,77.3999054","28.753915,77.3999054"
Khurja ,9,UTTAR PRADESH,"28.2513538,77.8538797","28.2513538,77.8538797"
Lakhimpur ,9,UTTAR PRADESH,"27.9490794,80.7824012","27.9490794,80.7824012"
Lalitpur ,9,UTTAR PRADESH,"24.6878597,78.4120206","24.6878597,78.4120206"
Loni ,9,UTTAR PRADESH,"28.7316438,77.3008506","28.7316438,77.3008506"
Lucknow ,9,UTTAR PRADESH,"26.8466937,80.946166","26.8466937,80.946166"
Mainpuri ,9,UTTAR PRADESH,"27.2177405,79.1096901","27.2177405,79.1096901"
Mathura ,9,UTTAR PRADESH,"27.4924134,77.673673","27.4924134,77.673673"
Maunath Bhanjan ,9,UTTAR PRADESH,"25.9496379,83.5586445","25.9496379,83.5586445"
Meerut ,9,UTTAR PRADESH,"28.9844618,77.7064137","28.9844618,77.7064137"
Mirzapur-cum-Vindhyachal ,9,UTTAR PRADESH,"25.1336987,82.5644344","25.1336987,82.5644344"
Modinagar ,9,UTTAR PRADESH,"28.8316307,77.5779592","28.8316307,77.5779592"
Moradabad ,9,UTTAR PRADESH,"28.8386481,78.7733286","28.8386481,78.7733286"
Mughalsarai ,9,UTTAR PRADESH,"25.2814947,83.1198203","25.2814947,83.1198203"
Muzaffarnagar ,9,UTTAR PRADESH,"29.4726817,77.7085091","29.4726817,77.7085091"
Noida ,9,UTTAR PRADESH,"28.5355161,77.3910265","28.5355161,77.3910265"
Orai ,9,UTTAR PRADESH,"26.00864,79.4478858","26.00864,79.4478858"
Pilibhit ,9,UTTAR PRADESH,"28.6207939,79.8128649","28.6207939,79.8128649"
Rae Bareli ,9,UTTAR PRADESH,"26.2345298,81.2408689","26.2345298,81.2408689"
Rampur ,9,UTTAR PRADESH,"25.4842209,82.5916032","25.4842209,82.5916032"
Saharanpur ,9,UTTAR PRADESH,"29.967079,77.5510172","29.967079,77.5510172"
Sambhal ,9,UTTAR PRADESH,"28.5903614,78.5717631","28.5903614,78.5717631"
Shahjahanpur ,9,UTTAR PRADESH,"27.8295801,79.8296743","27.8295801,79.8296743"
Shamli ,9,UTTAR PRADESH,"29.4507575,77.3152116","29.4507575,77.3152116"
Shikohabad ,9,UTTAR PRADESH,"27.1061756,78.5881674","27.1061756,78.5881674"
Sitapur ,9,UTTAR PRADESH,"27.5325072,80.8986502","27.5325072,80.8986502"
Sultanpur ,9,UTTAR PRADESH,"26.2647757,82.0727061","26.2647757,82.0727061"
Unnao ,9,UTTAR PRADESH,"26.5393449,80.4878195","26.5393449,80.4878195"
Varanasi ,9,UTTAR PRADESH,"25.3176452,82.9739144","25.3176452,82.9739144"
Dehradun ,5,UTTARAKHAND,"30.3164945,78.0321918","30.3164945,78.0321918"
Haldwani-cum-Kathgodam ,5,UTTARAKHAND,"29.2182644,79.5129767","29.2182644,79.5129767"
Hardwar ,5,UTTARAKHAND,"29.9456906,78.1642478","29.9456906,78.1642478"
Kashipur ,5,UTTARAKHAND,"29.2104232,78.9618845","29.2104232,78.9618845"
Roorkee ,5,UTTARAKHAND,"29.8542626,77.8880002","29.8542626,77.8880002"
Rudrapur ,5,UTTARAKHAND,"28.9875082,79.4141214","28.9875082,79.4141214"
Asansol ,19,WEST BENGAL,"23.6739452,86.9523954","23.6739452,86.9523954"
Ashoknagar Kalyangarh ,19,WEST BENGAL,"22.84039,88.6241351","22.84039,88.6241351"
Baharampur ,19,WEST BENGAL,"24.0988265,88.2679264","24.0988265,88.2679264"
Baidyabati ,19,WEST BENGAL,"22.795783,88.3190717","22.795783,88.3190717"
Bally ,19,WEST BENGAL,"22.6500518,88.3423199","22.6500518,88.3423199"
Bally City,19,WEST BENGAL,"22.6500518,88.3423199","22.6500518,88.3423199"
Balurghat ,19,WEST BENGAL,"25.2372834,88.7830612","25.2372834,88.7830612"
Bankura ,19,WEST BENGAL,"23.2324146,87.0786044","23.2324146,87.0786044"
Bansberia ,19,WEST BENGAL,"22.951904,88.4070629","22.951904,88.4070629"
Baranagar ,19,WEST BENGAL,"22.6383016,88.3654386","22.6383016,88.3654386"
Barasat ,19,WEST BENGAL,"22.7228159,88.480552","22.7228159,88.480552"
Barddhaman ,19,WEST BENGAL,"23.2324214,87.8614793","23.2324214,87.8614793"
Barrackpur ,19,WEST BENGAL,"22.7674278,88.3883455","22.7674278,88.3883455"
Basirhat ,19,WEST BENGAL,"22.6574017,88.8671766","22.6574017,88.8671766"
Bhadreswar ,19,WEST BENGAL,"22.8275529,88.3456516","22.8275529,88.3456516"
Bhatpara ,19,WEST BENGAL,"22.8562412,88.406454","22.8562412,88.406454"
Bidhan Nagar ,19,WEST BENGAL,"22.5867296,88.4170988","22.5867296,88.4170988"
Bongaon ,19,WEST BENGAL,"23.0440381,88.827703","23.0440381,88.827703"
Champdani ,19,WEST BENGAL,"22.8049456,88.3409338","22.8049456,88.3409338"
Chandannagar ,19,WEST BENGAL,"22.8647723,88.36326","22.8647723,88.36326"
Dabgram ,19,WEST BENGAL,"26.6954603,88.4415998","26.6954603,88.4415998"
Darjiling ,19,WEST BENGAL,"27.0360066,88.2626751","27.0360066,88.2626751"
Dum Dum ,19,WEST BENGAL,"22.6470514,88.431683","22.6470514,88.431683"
Durgapur ,19,WEST BENGAL,"23.5204443,87.3119227","23.5204443,87.3119227"
English Bazar ,19,WEST BENGAL,"25.0108408,88.1410967","25.0108408,88.1410967"
Habra ,19,WEST BENGAL,"22.8488542,88.6639591","22.8488542,88.6639591"
Haldia ,19,WEST BENGAL,"22.0666742,88.0698118","22.0666742,88.0698118"
Halisahar ,19,WEST BENGAL,"22.9441261,88.4193259","22.9441261,88.4193259"
Haora ,19,WEST BENGAL,"22.5957689,88.2636394","22.5957689,88.2636394"
Hugli-Chinsurah ,19,WEST BENGAL,"22.8858771,88.3919026","22.8858771,88.3919026"
Jalpaiguri ,19,WEST BENGAL,"26.5434772,88.7205256","26.5434772,88.7205256"
Jamuria ,19,WEST BENGAL,"23.7060688,87.0774107","23.7060688,87.0774107"
Kalyani ,19,WEST BENGAL,"22.9750855,88.4345078","22.9750855,88.4345078"
Kamarhati ,19,WEST BENGAL,"22.6846668,88.3706491","22.6846668,88.3706491"
Kanchrapara ,19,WEST BENGAL,"22.944101,88.4335019","22.944101,88.4335019"
Kharagpur ,19,WEST BENGAL,"22.34601,87.2319753","22.34601,87.2319753"
Khardaha ,19,WEST BENGAL,"22.7002943,88.3753455","22.7002943,88.3753455"
Kolkata ,19,WEST BENGAL,"22.572646,88.363895","22.572646,88.363895"
Krishnanagar ,19,WEST BENGAL,"23.4008744,88.5013962","23.4008744,88.5013962"
Kulti ,19,WEST BENGAL,"23.7370306,86.8370937","23.7370306,86.8370937"
Madhyamgram ,19,WEST BENGAL,"22.6925015,88.465448","22.6925015,88.465448"
Maheshtala ,19,WEST BENGAL,"22.511976,88.2509941","22.511976,88.2509941"
Medinipur ,19,WEST BENGAL,"22.4308892,87.3214908","22.4308892,87.3214908"
Nabadwip ,19,WEST BENGAL,"23.4036446,88.3676393","23.4036446,88.3676393"
Naihati ,19,WEST BENGAL,"22.8928724,88.4220324","22.8928724,88.4220324"
North Barrackpur ,19,WEST BENGAL,"22.7902358,88.367179","22.7902358,88.367179"
North Dum Dum ,19,WEST BENGAL,"22.6658076,88.4258483","22.6658076,88.4258483"
Panihati ,19,WEST BENGAL,"22.6983108,88.3991789","22.6983108,88.3991789"
Puruliya ,19,WEST BENGAL,"23.3320779,86.365208","23.3320779,86.365208"
Raiganj ,19,WEST BENGAL,"25.6185295,88.1255837","25.6185295,88.1255837"
Rajarhat Gopalpur ,19,WEST BENGAL,"22.6321975,88.4540911","22.6321975,88.4540911"
Rajpur Sonarpur ,19,WEST BENGAL,"22.4490894,88.3914731","22.4490894,88.3914731"
Raniganj ,19,WEST BENGAL,"23.6290575,87.0923906","23.6290575,87.0923906"
Rishra ,19,WEST BENGAL,"22.7244023,88.3287896","22.7244023,88.3287896"
Santipur ,19,WEST BENGAL,"23.2645399,88.4380966","23.2645399,88.4380966"
Serampore ,19,WEST BENGAL,"22.748331,88.3385053","22.748331,88.3385053"
Siliguri ,19,WEST BENGAL,"26.7271012,88.3952861","26.7271012,88.3952861"
South Dum Dum ,19,WEST BENGAL,"22.6059435,88.3967536","22.6059435,88.3967536"
Titagarh ,19,WEST BENGAL,"22.7382665,88.3737064","22.7382665,88.3737064"
Uluberia ,19,WEST BENGAL,"22.4744363,88.1000377","22.4744363,88.1000377"
Uttarpara Kotrung ,19,WEST BENGAL,"22.6768451,88.3385053","22.6768451,88.3385053"